id,studentId,jobId,status,createdAt,updatedAt
40033,10151,30054,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40034,10165,30054,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40035,10184,30054,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40036,10200,30054,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40037,10131,30124,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40038,10141,30124,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40039,10141,30132,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40040,10209,30132,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40041,10147,30073,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40042,10196,30073,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40043,10208,30073,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40044,10156,30006,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40045,10163,30006,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40046,10170,30006,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40047,10159,30095,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40048,10225,30095,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40049,10164,30013,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40050,10186,30049,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40051,10189,30119,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40052,10203,30119,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40053,10194,30014,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40054,10198,30151,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40055,10205,30151,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40056,10389,30120,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40057,10389,30164,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40058,10396,30164,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40059,10399,30164,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40060,10418,30164,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40061,10446,30164,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40062,10390,30023,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40063,10398,30158,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40064,10426,30158,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40065,10428,30158,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40066,10405,30043,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40067,10423,30043,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40068,10549,30043,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40069,10406,30098,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40070,10411,30110,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40071,10419,30010,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40072,10427,30010,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40073,10471,30010,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40074,10425,30019,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40075,10431,30034,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40076,10434,30172,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40077,10455,30172,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40078,10440,30040,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40079,10468,30040,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40080,10442,30102,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40081,10447,30102,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
40082,10449,30102,SELECTED,2026-06-08T16:43:14.644Z,2026-06-08T16:43:14.644Z
